user_name,description,user_location,text,language,hashtags,media_url,place,date,time
JoshSearlesWx,Meteorologist woking in global shipping operations. I love biking and craft beer.,"New York, USA",Just caught the MSC Ludovica passing through Tampa Bay en route to Panama Canal @MSCCargo  #shipping #containership https://t.co/UsZNeByTiY,en,"shipping, containership",https://pbs.twimg.com/media/FOu6bsWWQAY3HpF.jpg,,44645,0.988599537
albertpallares,"Professional especialitzat en el Transport Marítim. Gaudeixo amb el trekking, fent esport, relaxant-me, treballant, però sobretot... amb la família!!",Travelling a lot ,"Silverstream air bubble tech for 16,000 TEU containership fleet https://t.co/KmQBVtUEH6 https://t.co/YZ8RisVD67",en,,https://pbs.twimg.com/media/FOrz4vMVEAIh0Ik.jpg,,44645,0.386180556
johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA","The HSL NIKE, IMO:9301457 en route to New York, flying the flag of Liberia 🇱🇷. #HSLNike #ContainerShip #ShipsInPics https://t.co/y2TqqUhJUX",en,"HSLNike, ContainerShip, ShipsInPics",https://pbs.twimg.com/media/FOjS1FAXsAMl-cl.jpg,"Place(_api=<tweepy.api.API object at 0x00000252C547C940>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000252C547C940>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})",44643,0.73244213
EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom","Silverstream air bubble tech for 16,000 TEU containership fleet https://t.co/iBeNO8FJnK https://t.co/74bNWmWErM",en,,https://pbs.twimg.com/media/FOiFGQzVsAIXtRV.jpg,,44643,0.496597222
EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",Cosco Building Battery-Powered Electric Containership for Yangtze  https://t.co/b5RJPJJC4D https://t.co/sSkYOhyP0W,en,,https://pbs.twimg.com/media/FOefGJ3VgAQ9yTV.jpg,,44642,0.79875
EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",Cosco Building Battery-Powered Electric Containership for Yangtze  https://t.co/vNYqcFghvL https://t.co/JrhQqybfkV,en,,https://pbs.twimg.com/media/FOeUxYmUYAAyMfd.jpg,,44642,0.767418981
EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",The Role of Big Data in the Containership Market https://t.co/0B164SfYWK https://t.co/wrtwup87xF,en,,https://pbs.twimg.com/media/FOdzWUcUcAALYM4.jpg,,44642,0.666018519
EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",The Role of Big Data in the Containership Market https://t.co/XXOuLWGJQ3 https://t.co/IL7KNwpqcC,en,,https://pbs.twimg.com/media/FOdMx9lVQAASuN9.jpg,,44642,0.548993056
IainS9,We Were Warriors Once and Had Courage  (sayeth the old man),Scotland,@NavyLookout @hms_pembroke @SheilaLWeir - But not so atmospheric. https://t.co/aeGohMJ1GW,en,,https://pbs.twimg.com/media/FO9F_UsXoAAPluk.jpg,,44648,0.742453704
NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_pembroke outbound on the Clyde today.

VIa @SheilaLWeir https://t.co/jtJevvDMNP",en,,https://pbs.twimg.com/media/FO9ExbvXEAQtxTk.jpg,,44648,0.738865741
lenkabondarenka,push the tempo,Украина,@NavyLookout https://t.co/R3IlIY8qD8,und,,https://pbs.twimg.com/media/FO80LetXEAgTl6q.jpg,,44648,0.688206019
NavyLookout,Independent Royal Navy news and analysis,UK,"Latest news commentary:

Assessing Russia’s first major naval loss of the war in Ukraine

https://t.co/YUDYbc9lz1 https://t.co/BR4dHMORpg",en,,https://pbs.twimg.com/media/FO8t2R3XsAgiBiQ.jpg,,44648,0.675150463
Shipsoftherive1,Bringing you what I can when I can from ships up and down the Mersey all photos by Ian F,"Birkenhead, England","@HMSQNLZ leaving on a very hazy Mersey today 
@RNPics_ @RoyalNavy @NavyLookout https://t.co/PvKnaTDVAJ",en,,https://pbs.twimg.com/media/FO7hFBeWQAIPwJa.jpg,,44648,0.436018519
NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSQNLZ sails from Liverpool this morning 

Via @Streetgang42 https://t.co/QEiUr5DAp2",en,,https://pbs.twimg.com/media/FO7TZ9QXEAULrqX.jpg,,44648,0.394548611
